,,,,,,Duration,fitness,total_return,trade_count,p,exp
5200,2.6,-2.0,0.5,1e-09,0.9,2086.0,0.3769446240034475,-0.009503564341694255,7.6,0.667,0
6200,3.8,-2.9,0.5,1e-07,1.0,1821.2,0.35545454545454547,-0.020518851719146906,5.0,0.22211099999999998,1
6600,2.0,-4.1,1.1,1e-09,1.1,1013.4,0.3475274725274725,-0.011068274175305324,7.1,0.07396296299999999,2
6500,2.9,-2.9,1.9,1e-08,0.6,412.0,0.3375,-0.017718858682728572,7.7,0.024629666678999993,3
5900,2.9,-3.5,1.9,1e-08,1.0,448.6,0.3282717282717283,-0.015689369145651087,6.5,0.008201679004106998,4
6000,3.2,-2.3,1.5,1e-07,1.1,505.4,0.31917440660474716,-0.023691509085928243,9.3,0.00273115910836763,5
5600,2.6,-5.0,1.7,1e-07,0.7,465.0,0.3185314685314685,-0.009460049077567185,6.0,0.0009094759830864206,6
5900,2.6,-3.8,1.3,1e-09,0.6,1037.6,0.3169230769230769,-0.013471704410175275,6.1,0.000302855502367778,7
6600,3.2,-2.3,0.5,1e-09,0.9,2579.4,0.31393939393939396,-0.011816422720505263,5.1,0.00010085088228847006,8
5400,5.0,-2.6,1.5,1e-07,0.6,420.8,0.2982187746893629,-0.024317553795465564,7.5,3.358334380206053e-05,9
6600,2.9,-5.0,0.7,1e-05,0.9,287.6,0.291131221719457,-0.01654689842895245,8.0,1.1183253486086155e-05,10
5700,2.0,-3.2,1.1,1e-09,1.0,884.2,0.2762464985994398,-0.015475798313444256,9.4,3.7240234108666895e-06,11
5800,3.2,-2.9,0.7,1e-08,0.7,1999.2,0.27010101010101006,-0.01453598711401173,5.1,1.2400997958186074e-06,12
6800,2.9,-3.8,0.7,1e-05,0.7,259.2,0.2673310023310024,-0.0211771920958941,12.5,4.129532320075962e-07,13
6600,4.7,-2.9,1.9,1e-09,1.1,476.2,0.25757575757575757,-0.02167405519656865,5.1,1.3751342625852952e-07,14
5900,5.0,-3.2,1.5,1e-06,0.6,277.0,0.2575,-0.01875079975553321,7.1,4.5791970944090324e-08,15
5400,4.1,-3.8,1.1,1e-05,0.5,182.2,0.2457457011512739,-0.02116970096329448,10.4,1.524872632438208e-08,16
5900,3.2,-4.1,1.5,1e-05,1.0,170.2,0.2411521227310701,-0.02223488853160907,10.0,5.077825866019231e-09,17
5700,3.2,-3.5,1.7,1e-07,0.8,527.2,0.2366300366300366,-0.020324427940964146,6.3,1.6909160133844035e-09,18
5000,5.0,-4.7,0.7,1e-05,0.7,283.0,0.23606060606060603,-0.01519095146436126,5.5,5.630750324570064e-10,19
5600,2.0,-2.6,0.5,1e-06,0.6,593.6,0.2358205128205128,-0.03178786321884068,11.5,1.875039858081831e-10,20
6200,2.3,-2.3,1.7,1e-07,1.1,204.4,0.2262875993402309,-0.030160649054062287,16.8,6.243882727412496e-11,21
6100,4.7,-2.9,1.5,1e-07,0.5,405.0,0.22615384615384615,-0.028763718377084597,6.7,2.0792129482283612e-11,22
5500,3.2,-4.7,1.7,1e-06,0.7,238.6,0.22069930069930072,-0.015722201363306952,5.5,6.923779117600442e-12,23
5600,5.0,-2.3,1.9,1e-08,0.7,197.2,0.2198407784166298,-0.029132055551673308,9.6,2.305618446160947e-12,24
6100,3.2,-3.2,1.7,1e-09,0.9,930.0,0.2175757575757576,-0.021652034891996796,5.3,7.677709425715953e-13,25
5500,2.3,-4.1,1.5,1e-06,0.9,244.0,0.21543079922027292,-0.022556984458774625,11.6,2.556677238763412e-13,26
6500,3.8,-2.3,0.7,1e-06,0.7,535.0,0.2072070731126459,-0.029478402976551004,7.8,8.51373520508216e-14,27
5400,2.9,-2.3,1.9,1e-08,1.1,203.4,0.20657142857142857,-0.03644108969882766,14.3,2.835073823292359e-14,28
5100,2.6,-4.1,1.9,1e-09,0.8,233.4,0.2053860140547447,-0.016128046993517463,8.6,9.440795831563555e-15,29
6500,3.2,-4.7,0.9,1e-05,1.0,247.8,0.20531954887218046,-0.01687216986062421,7.8,3.1437850119106636e-15,30
6400,2.0,-2.6,0.7,1e-05,0.9,200.2,0.19914744933612857,-0.055502049384520455,24.5,1.0468804089662507e-15,31
6900,3.5,-4.1,0.5,1e-05,0.5,274.2,0.19603574152773237,-0.021603805332544232,10.3,3.4861117618576147e-16,32
5200,4.7,-2.0,1.1,1e-07,1.0,627.0,0.19424908424908424,-0.03341591038911542,6.8,1.1608752166985855e-16,33
5500,2.9,-3.5,1.1,1e-05,0.6,134.8,0.19224910795544833,-0.03009537018791808,16.4,3.8657144716062896e-17,34
5000,2.6,-3.8,1.3,1e-07,1.1,587.8,0.19214285714285712,-0.022843568890657313,7.9,1.2872829190448942e-17,35
5800,3.8,-4.4,0.7,1e-05,0.5,244.2,0.19204014939309055,-0.01577373912684769,8.3,4.286652120419498e-18,36
5800,2.0,-2.6,0.5,1e-06,1.1,623.6,0.19189787904621664,-0.03467597486304746,10.4,1.4274551560996924e-18,37
6200,2.9,-3.5,1.9,1e-09,1.1,524.2,0.19063211298505417,-0.01758687982340048,6.9,4.753425669811976e-19,38
5700,2.6,-4.7,1.3,1e-05,1.1,151.0,0.1863408521303258,-0.01157107438682167,10.8,1.5828907480473876e-19,39
6600,3.5,-5.0,1.9,1e-05,0.5,85.4,0.18609625668449198,-0.015321996717210146,8.7,5.2710261909978e-20,40
6400,3.8,-2.3,1.5,1e-08,0.8,1016.2,0.18494949494949495,-0.024572922567079773,5.3,1.7552517216022672e-20,41
5000,3.5,-2.9,1.3,1e-07,1.0,583.0,0.18490259740259737,-0.030076125939833227,6.7,5.844988232935549e-21,42
6500,3.8,-2.3,0.5,1e-05,1.0,287.2,0.17877905491698595,-0.041625958760600136,13.6,1.9463810815675377e-21,43
5300,3.5,-2.9,1.9,1e-08,1.0,317.6,0.17257911936704504,-0.03175031205591028,8.8,6.4814490016199e-22,44
6100,4.4,-3.2,0.7,1e-05,0.8,291.4,0.16944535251171405,-0.027502797724278782,10.1,2.1583225175394264e-22,45
5100,2.6,-2.0,1.5,1e-08,1.1,303.2,0.16767075517075516,-0.041724228903530856,15.1,7.18721398340629e-23,46
5500,3.2,-5.0,1.1,1e-06,0.6,411.6,0.16713286713286712,-0.026102942925508067,5.5,2.393342256474294e-23,47
6000,4.4,-2.9,0.9,1e-05,1.0,246.2,0.1661449275362319,-0.02928090807011654,11.5,7.969829714059398e-24,48
5200,5.0,-2.3,1.9,1e-06,1.1,110.6,0.16278434209468692,-0.03082903136773877,12.6,2.653953294781779e-24,49
5800,3.2,-3.5,1.3,1e-06,1.0,467.4,0.1611549235078647,-0.027148822945756223,7.4,8.837664471623323e-25,50
5400,5.0,-2.0,0.7,1e-05,0.6,181.4,0.16076986076986077,-0.047711103556513326,20.3,2.9429422690505665e-25,51
5600,4.7,-3.2,1.7,1e-06,0.8,256.0,0.15402661064425768,-0.021568585625480596,7.3,9.799997755938384e-26,52
6300,5.0,-3.2,0.7,1e-06,0.9,671.2,0.15395104895104897,-0.02773087695163614,5.2,3.263399252727482e-26,53
5700,3.5,-3.2,1.1,1e-05,1.0,182.6,0.14519704433497538,-0.030256925361440767,13.6,1.0867119511582513e-26,54
6900,2.9,-2.0,1.3,1e-07,0.8,536.6,0.13428571428571429,-0.030197394226778113,9.2,3.618750797356977e-27,55
5000,2.9,-2.0,1.9,1e-07,0.8,21.2,0.12752972790015618,-0.06820131277387963,38.0,1.205044015519873e-27,56
6800,5.0,-2.3,1.7,1e-09,1.1,562.2,0.12692307692307692,-0.03259698104432744,6.3,4.0127965716811773e-28,57
6000,4.7,-2.3,1.7,1e-09,0.7,474.4,0.12604617604617604,-0.03371142546474992,7.5,1.3362612583698318e-28,58
5300,2.3,-2.0,1.9,1e-05,0.5,10.6,0.12351288911470419,-0.12892398638136826,87.6,4.449749990371539e-29,59
5500,3.8,-3.2,1.7,1e-06,1.0,261.4,0.11812684047978166,-0.025536998346023392,7.7,1.4817667467937226e-29,60
6500,2.9,-4.7,1.3,1e-09,0.7,991.2,0.0,-0.005821935502327137,3.8,4.9342832668230946e-30,61
6300,5.0,-5.0,1.3,1e-06,0.6,471.0,0.0,-0.019453058145556208,2.8,1.6431163278520904e-30,62
6000,5.0,-4.4,1.5,1e-07,1.0,848.0,0.0,-0.019399984000582304,2.3,5.471577371747461e-31,63
6700,4.1,-3.8,1.1,1e-08,1.1,1383.6,0.0,-0.017088614886593318,2.7,1.8220352647919043e-31,64
6700,3.2,-3.5,1.1,1e-07,0.8,1230.0,0.0,-0.013407410220830593,3.9,6.06737743175704e-32,65
5100,4.1,-3.8,1.5,1e-09,0.5,1076.4,0.0,-0.01810416776526199,3.5,2.0204366847750945e-32,66
5700,3.2,-5.0,0.7,1e-09,0.7,1673.8,0.0,-0.011382598891090398,3.1,6.728054160301062e-33,67
6400,3.8,-5.0,1.7,1e-07,0.5,552.0,0.0,-0.016021158305723936,2.8,2.2404420353802537e-33,68
5200,4.7,-2.9,1.3,1e-09,1.1,1044.0,0.0,-0.028071551059449272,4.4,7.460671977816244e-34,69
6100,3.5,-4.1,1.7,1e-06,0.6,338.0,0.0,-0.012814468296800099,4.6,2.4844037686128087e-34,70
6200,4.4,-3.8,0.9,1e-06,0.6,561.0,0.0,-0.030332897541679678,4.7,8.273064549480653e-35,71
5800,5.0,-4.4,1.9,1e-06,0.9,340.4,0.0,-0.01579789801050346,3.1,2.754930494977057e-35,72
6800,4.1,-3.5,0.7,1e-08,1.0,1962.6,0.0,-0.015214743502529821,2.8,9.1739185482736e-36,73
6900,4.7,-3.8,1.3,1e-06,0.9,596.0,0.0,-0.0229673104239983,3.7,3.054914876575108e-36,74
5300,3.8,-4.7,0.5,1e-06,0.5,804.2,0.0,-0.018354169096240533,3.6,1.0172866538995109e-36,75
6000,4.7,-5.0,1.1,1e-05,0.8,301.4,0.0,-0.006336739252921002,3.6,3.387564557485371e-37,76
6500,4.7,-4.1,1.7,1e-08,0.8,1017.2,0.0,-0.022688525089273354,2.6,1.1280589976426283e-37,77
6800,5.0,-5.0,1.1,1e-09,0.8,1368.8,0.0,-0.016765192080482556,2.0,3.756436462149952e-38,78
6900,4.7,-3.8,1.7,1e-07,0.8,739.2,0.0,-0.017817142076307975,2.7,1.2508933418959339e-38,79
5800,3.8,-3.2,0.9,1e-09,0.5,1767.0,0.0,-0.009632980764545445,3.6,4.1654748285134597e-39,80
6300,4.4,-5.0,1.1,1e-06,0.5,545.8,0.0,-0.022914289587109827,3.2,1.3871031178949818e-39,81
6000,5.0,-3.2,0.9,1e-07,0.6,1238.4,0.0,-0.027658811729065026,3.9,4.619053382590289e-40,82
6000,2.9,-5.0,0.7,1e-07,0.6,1219.6,0.0,-0.007938853968879197,3.6,1.538144776402566e-40,83
6000,3.5,-3.8,1.7,1e-09,0.8,1113.8,0.0,-0.018912216203323937,4.0,5.122022105420545e-41,84
5800,4.4,-4.1,1.9,1e-06,0.7,311.0,0.0,-0.015827908867312675,4.3,1.705633361105041e-41,85
5900,3.2,-4.7,1.3,1e-07,1.0,1098.2,0.0,-0.00936554621893087,3.6,5.6797590924797867e-42,86
6900,3.8,-2.6,0.9,1e-08,0.7,1992.4,0.0,-0.013307660036765031,4.1,1.8913597777957686e-42,87
5800,4.1,-3.2,0.5,1e-07,1.0,1663.0,0.0,-0.02402415233564876,3.9,6.2982280600599086e-43,88
6500,5.0,-2.9,0.5,1e-09,0.7,2504.2,0.0,-0.014338585834841341,3.5,2.0973099439999495e-43,89
6600,3.2,-5.0,0.5,1e-06,1.1,1219.0,0.0,-0.01631493400400382,3.8,6.984042113519831e-44,90
5900,3.2,-4.4,0.7,1e-06,1.1,1028.2,0.0,-0.013635373919683716,3.6,2.3256860238021037e-44,91
6500,3.5,-3.8,1.5,1e-08,1.0,1139.6,0.0,-0.019579910703586133,3.2,7.744534459261002e-45,92
6800,3.8,-4.4,1.5,1e-08,0.9,1063.2,0.0,-0.01680750846627792,2.7,2.578929974933914e-45,93
6000,4.7,-4.1,1.9,1e-09,0.6,765.0,0.0,-0.018279539763665677,3.1,8.587836816529932e-46,94
6400,3.8,-3.5,1.1,1e-09,0.6,1703.2,0.0,-0.01147866109167067,3.8,2.859749659904467e-46,95
6600,3.2,-3.5,1.7,1e-07,0.7,580.6,0.0,-0.010947149570330618,4.9,9.522966367481875e-47,96
5700,4.7,-4.4,0.9,1e-08,1.0,1217.0,0.0,-0.01717962710999516,2.3,3.171147800371464e-47,97
5200,3.8,-5.0,0.7,1e-05,1.1,354.4,0.0,-0.014318591744637132,4.9,1.0559922175236974e-47,98
6900,3.8,-5.0,0.5,1e-09,0.8,2150.6,0.0,-0.013146716923785917,2.4,3.5164540843539115e-48,99
